2018-09-21 11:52:08.401 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : addMOUAgreement | Description : MOUAgreementController's addMOUAgreement  | InputParams : {"mouAgreement":{"agreementKey":null,"createdSysUser":1,"agreementID":"agr","idType":"TIN","createdUser":"Ap","endDate":1577836800000,"startDate":1546300800000,"createdDate":1355270400000,"idNumber":"901430128v","description":"An Old Agreement","active":true,"amount":120000.0}} | StartTime : 1537510928074 | EndTime : 1537510928379 | DurationInMS : 305 | Returned : {"headers":{},"body":{"agreementKey":1,"createdSysUser":1,"agreementID":"agr","idType":"TIN","createdUser":"Ap","endDate":"2020-01-01","startDate":"2019-01-01","createdDate":"2012-12-12","idNumber":"901430128v","description":"An Old Agreement","active":true,"amount":120000.0},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:07.504 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : getBudgetTypeExists | Description : getBudgetTypeExists | InputParams : {"budgetType":{"budgetTypeId":null,"budgetName":"device","description":"my"}} | StartTime : 1537510987371 | EndTime : 1537510987502 | DurationInMS : 131 | Returned : {"headers":{},"body":{"statusCode":200,"data":null,"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:07.549 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveBudgetType | Description : Saving BudgetType | InputParams : {"budgetType":{"budgetTypeId":null,"budgetName":"device","description":"my"}} | StartTime : 1537510987508 | EndTime : 1537510987546 | DurationInMS : 38 | Returned : {"headers":{},"body":{"statusCode":200,"data":{"budgetTypeId":1,"budgetName":"device","description":"my"},"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:07.660 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : getReleaseFrequencyExists | Description : getReleaseFrequencyExists | InputParams : {"releaseFrequency":{"frequencyTypeId":null,"frequencyName":"THREE_QUARTER","description":"desc"}} | StartTime : 1537510987555 | EndTime : 1537510987656 | DurationInMS : 101 | Returned : {"headers":{},"body":{"statusCode":200,"data":null,"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:07.722 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveReleaseFrequency | Description : Saving ReleaseFrequency | InputParams : {"releaseFrequency":{"frequencyTypeId":null,"frequencyName":"THREE_QUARTER","description":"desc"}} | StartTime : 1537510987664 | EndTime : 1537510987720 | DurationInMS : 56 | Returned : {"headers":{},"body":{"statusCode":200,"data":{"frequencyTypeId":1,"frequencyName":"THREE_QUARTER","description":"desc"},"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:08.320 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveBudgetType | Description : Saving Budgets | InputParams : {"budgets":[{"budgetId":null,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-01-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":1553970600000,"usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":null,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":1554057000000,"subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":1561833000000,"usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":null,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":1561919400000,"subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":1569781800000,"usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":null,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":1569868200000,"subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":1577730600000,"usageAmount":0.0,"availableAmount":40000.0,"active":false}]} | StartTime : 1537510987950 | EndTime : 1537510988299 | DurationInMS : 349 | Returned : {"headers":{},"body":{"statusCode":200,"data":[{"budgetId":1,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-01-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-03-31","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":2,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-04-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-06-30","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":3,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-07-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-09-30","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":4,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-10-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-12-31","usageAmount":0.0,"availableAmount":40000.0,"active":false}],"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:08.330 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveMouAgreementBudgetTypes | Description : saveMouAgreementBudgetTypes | InputParams : {"mouAgreementBudgetTypes":[{"mouAgreementBudgetTypeId":null,"budgetType":{"budgetTypeId":1,"budgetName":"device","description":"my"},"releaseFrequency":{"frequencyTypeId":1,"frequencyName":"THREE_QUARTER","description":"desc"},"amount":1000.0,"mouAgreementId":1,"budgetList":null}]} | StartTime : 1537510987362 | EndTime : 1537510988322 | DurationInMS : 960 | Returned : {"headers":{},"body":{"statusCode":200,"data":[{"mouAgreementBudgetTypeId":1,"budgetType":{"budgetTypeId":1,"budgetName":"device","description":"my"},"releaseFrequency":{"frequencyTypeId":1,"frequencyName":"THREE_QUARTER","description":"desc"},"amount":1000.0,"mouAgreementId":1,"budgetList":[{"budgetId":1,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-01-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-03-31","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":2,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-04-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-06-30","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":3,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-07-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-09-30","usageAmount":0.0,"availableAmount":40000.0,"active":false},{"budgetId":4,"mouAgreementBudgetTypeId":1,"budgetAmount":40000.0,"startDate":"2019-10-01","subPeriodCode":null,"subPeriodCodeDesc":null,"endDate":"2019-12-31","usageAmount":0.0,"availableAmount":40000.0,"active":false}]}],"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:46.050 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : getCustomerByKeys | Description : getCustomerByKeys Customer | InputParams : {"customer":{"customerId":null,"createdSysUser":null,"idType":"TIN","idNumber":"1202","cxName":"Cus 5","createdUser":"apple","createdDate":null,"adLine3":null,"adLine2":null,"adLine1":null,"sector":null,"segment":null}} | StartTime : 1537511025902 | EndTime : 1537511026045 | DurationInMS : 143 | Returned : {"headers":{},"body":{"statusCode":200,"data":null,"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:53:48.253 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveCustomer | Description : SaveCustomer Customer | InputParams : {"customer":{"customerId":null,"createdSysUser":1,"idType":"TIN","idNumber":"1202","cxName":"Cus 5","createdUser":"apple","createdDate":1537511028095,"adLine3":null,"adLine2":null,"adLine1":null,"sector":null,"segment":null}} | StartTime : 1537511028074 | EndTime : 1537511028244 | DurationInMS : 170 | Returned : {"headers":{},"body":{"statusCode":200,"data":{"customerId":1,"createdSysUser":1,"idType":"TIN","idNumber":"1202","cxName":"Cus 5","createdUser":"apple","createdDate":"2018-09-21","adLine3":null,"adLine2":null,"adLine1":null,"sector":null,"segment":null},"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 11:54:04.179 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : saveCustomerMOUAgeement | Description : saveCustomerMOUAgeement | InputParams : {"customerMOUAgreement":{"customerMOUAgreementId":null,"customerId":1,"mouAgreementId":1}} | StartTime : 1537511043964 | EndTime : 1537511044172 | DurationInMS : 208 | Returned : {"headers":{},"body":{"statusCode":200,"data":{"customerMOUAgreementId":1,"customerId":1,"mouAgreementId":1},"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
2018-09-21 14:19:20.135 DEBUG  --- [http-nio-8888-exec-2] l.d.m.a.a.AuditAspect : User : FSM | action : addMOUAgreementreq | Description : MOUAgreementController's addMOUAgreementReq  | InputParams : {"mouAgreementCompleteReq":{"mouAgreements":[{"agreementKey":null,"createdSysUser":1,"agreementID":"agr","idType":"TIN","createdUser":"Ap","endDate":1577836800000,"startDate":1546300800000,"createdDate":1355270400000,"idNumber":"901430128v","description":"An Old Agreement","active":true,"amount":120000.0}],"customers":[{"customerId":null,"createdSysUser":1,"idType":"TIN","idNumber":"1202","cxName":"Cus 5","createdUser":"apple","createdDate":1537511028095,"adLine3":null,"adLine2":null,"adLine1":null,"sector":null,"segment":null}],"mouAgreementBudgetTypes":[{"mouAgreementBudgetTypeId":null,"budgetType":{"budgetTypeId":1,"budgetName":"device","description":"my"},"releaseFrequency":{"frequencyTypeId":1,"frequencyName":"THREE_QUARTER","description":"desc"},"amount":1000.0,"mouAgreementId":1,"budgetList":null}]}} | StartTime : 1537510885303 | EndTime : 1537519760133 | DurationInMS : 8874830 | Returned : {"headers":{},"body":{"statusCode":200,"data":{"mouAgreements":null,"customers":null,"mouAgreementBudgetTypes":null},"message":"OK","additionalParams":{}},"statusCode":"OK","statusCodeValue":200}
